Code,RegNum,BrandNam,Strength,Presentation,Form,Agent,Manufacturer,Country,Price,Pharmmarg,Stratum,PubDec,ResPart,ResCou,ExcDat,Subsidy
10615,63521/1,10% DEXTROSE INJECTION USP,-,250ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,170078.64,16.67,-,1.90032,-,-,2024-02-05,1
10616,63621/1,10% DEXTROSE INJECTION USP,-,500ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,194211.42,16.67,-,2.16996,-,-,2024-02-05,1
11140,9323/1,10% DEXTROSE INJECTION USP,-,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,284996.64,16.67,-,3.18432,-,-,2024-02-05,1
11141,9123/1,10% DEXTROSE INJECTION USP,-,250ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,220642.56,16.67,-,2.46528,-,-,2024-02-05,1
11142,63621/1,10% DEXTROSE INJECTION USP,-,500ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,252819.6,16.67,-,2.8248,-,-,2024-02-05,1
9526,31316/1,10% W/V CALCIUM GLUCONATE INJECTION BP,-,100x10ml Plastic Ampoules,-,Pharmamed,Pharmaceutical Solutions Industry,Saudi Arabia,3952240.793,23.08,B,44.159115,Pharmaceutical Solutions Industry,Saudi Arabia,2024-02-05,1
4290,208377/97,123 COLD AND FLU,-,20,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,409552,23.08,A1,4.576,-,-,2024-02-05,1
10304,10120/1,123 COMPLETE,-,16Day tablets + 8Night tablets,Tablet,Droguerie de l'Union,Algorithm S.A.L.,Lebanon,537537,23.08,A1,6.006,Algorithm S.A.L.,Lebanon,2024-02-05,1
10611,64021/1,2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,-,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,172377,16.67,-,1.926,-,-,2024-02-05,1
11143,9623/1,2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,-,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,224090.1,16.67,-,2.5038,-,-,2024-02-05,1
7212,168141/10,20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP,-,1000ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,278101.56,16.67,-,3.10728,-,-,2024-02-05,1
9378,93016/1,20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP,-,250ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,229958.5792,16.67,-,2.5693696,-,-,2024-02-05,1
7211,168142/10,20 MEQ POTASSIUM OF 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP,-,1000ml PVC Bags 2 entries,Injection,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,229958.5792,16.67,-,2.5693696,-,-,2024-02-05,1
1337,974078/02,3V,-,20,Tablet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,229797.0675,23.08,A1,2.567565,-,-,2024-02-05,1
1338,974079/02,3V,-,3,Ampoule,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,198888.69,23.08,A1,2.22222,-,-,2024-02-05,1
10612,64121/1,5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,-,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,179272.08,16.67,-,2.00304,-,-,2024-02-05,1
11144,9523/1,5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION,-,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,224090.1,16.67,-,2.5038,-,-,2024-02-05,1
10613,63921/1,5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION,-,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,180421.26,16.67,-,2.01588,-,-,2024-02-05,1
11145,9423/1,5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION,-,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,226388.46,16.67,-,2.52948,-,-,2024-02-05,1
10566,52321/1,5% DEXTROSE INJECTION USP,-,100ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,148244.22,16.67,-,1.65636,-,-,2024-02-05,1
10567,52421/1,5% DEXTROSE INJECTION USP,5%,250ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,148244.22,16.67,-,1.65636,-,-,2024-02-05,1
10568,52521/1,5% DEXTROSE INJECTION USP,5%,500ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,159736.02,16.67,-,1.78476,-,-,2024-02-05,1
10569,52621/1,5% DEXTROSE INJECTION USP,5%,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,179272.08,16.67,-,2.00304,-,-,2024-02-05,1
11146,8723/1,5% DEXTROSE INJECTION USP,-,100ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,191913.06,16.67,-,2.14428,-,-,2024-02-05,1
11147,8823/1,5% DEXTROSE INJECTION USP,5%,250ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,191913.06,16.67,-,2.14428,-,-,2024-02-05,1
11148,8923/1,5% DEXTROSE INJECTION USP,5%,500ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,208001.58,16.67,-,2.32404,-,-,2024-02-05,1
11149,9023/1,5% DEXTROSE INJECTION USP,5%,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,224090.1,16.67,-,2.5038,-,-,2024-02-05,1
8733,66316/1,5-FLUOROURACIL EBEWE,1000mg,1,Vial,Khalil Fattal & Fils S.A.L.,Fareva Unterach GmbH,Austria,653107.455,23.08,A1,7.29729,Ebewe Pharma GesmbH.NFG.KG,Austria,2024-02-05,1
10544,70720/1,A.B.C.-COLD,-,20,"Tablet, film coated",Pharmadex,Pharmadex,Lebanon,534977.3,23.08,A1,5.9774,-,-,2024-02-05,1
10548,167320/1,A.S HEART,81mg,30,"Tablet, enteric coated",Pharmadex,Pharmadex,Lebanon,148462.6,23.08,A1,1.6588,-,-,2024-02-05,1
9198,62314/1,AAREL,-,500ml,IV infusion,Macromed S.A.R.L.,Otsuka Pharmaceutical India Private Limited,India,127665.0375,23.08,A1,1.426425,Otsuka Pharmaceutical India Private Limited,India,2024-02-05,1
9325,42316/1,ABILIFY MAINTENA,400mg,1Vial of powder +1Vial of 2ml solvent,Powder and solvent for prolonged release suspension for injection,Sadco,H. Lundbeck AS,Denmark,4825054.726,19.35,D,1,H. Lundbeck AS,Denmark,2024-02-05,1
10698,77116/1,ABIPREX 10,10mg,30,Tablet,Benta Trading Co s.a.l.,Benta SAL,Lebanon,1075074,23.08,B,12.012,-,-,2024-02-05,1
10699,77216/1,ABIPREX 15,15mg,30,Tablet,Benta Trading Co s.a.l.,Benta SAL,Lebanon,1075074,23.08,B,12.012,-,-,2024-02-05,1
10966,91022/1,ABIRATERONE ACETATE NEAPOLIS,250mg,120,Tablet,Medis Pharm Drugstore,Neapolis Pharma,Tunisia,3244041,2.44,E2,1,Neapolis Pharma,Tunisia,2024-02-05,1
10993,6421/1,ABIRATERONE ACETATE SPC,250mg,120,"Tablet, film coated",Advanced Healthcare Services SAL,"Pharmaline SAL Licensed by Sudair Pharma Company, KSA",Lebanon,2386519,2.44,E2,1,-,-,2024-02-05,1
11432,113920/1,ABLAX 250,250mg,120,Tablet,Benta Trading Co s.a.l.,"Manufactured by MSN Laboratories Private Ltd, India for Benta SAL",Lebanon,758918,10.71,E1,1,-,-,2024-02-05,1
11001,93321/1,ABRAXANE,5mg/ml,1 Vial,Injectable powder for suspension for infusion,Droguerie de l'Union,Abraxis BioScience LLC,USA,2920517.413,19.35,D,1,Bristol-Myers Squibb Pharma EEIG,Ireland,2024-02-05,1
10796,52919/1,ABREMIA,250mg,120,Tablet,Droguerie de l'Union,The Arab Pharmaceutical Manufacturing PSC,Jordan,2195971,2.44,E2,1,Hikma Pharmaceuticals,Jordan,2024-02-05,1
11325,147822/1,ABRILADA,40mg,2prefilled syringes 0.8ml + 2alcohol pads,Solution for injection,Food & Drug Corporation FDC,"Catalent Indiana, LLC",USA,40259574.14,10.71,E1,449.827644,Pfizer Europe MA EEIG,Belgium,2024-02-05,1
11326,147922/1,ABRILADA,40mg,2prefilled pens 0.8ml + 2alcohol pads,Solution for injection,Food & Drug Corporation FDC,"Catalent Indiana, LLC",USA,40259574.14,10.71,E1,449.827644,Pfizer Europe MA EEIG,Belgium,2024-02-05,1
9058,43417/1,ABSTRAL,100mcg,10,"Tablet, sublingual",Droguerie Mercury S.A.L.,Aesica Queenborough Ltd,UK,3419743.202,23.08,B,38.20942125,Kyowa Kirin Limited,UK,2024-02-05,1
9059,43217/1,ABSTRAL,200mcg,10,"Tablet, sublingual",Droguerie Mercury S.A.L.,Aesica Queenborough Ltd,UK,5261143.388,23.08,B,58.783725,Kyowa Kirin Limited,UK,2024-02-05,1
9362,128817/1,ACAMPROSATE BIOGARAN,333mg,180,Comprimes pellicules gastroresistants,Commercial and Trading Ressources SAL (CTR),Laboratoires BTT,France,3641813.175,23.08,B,40.69065,Laboratoires Biogaran,France,2024-02-05,1
11187,71121/1,ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE,-,30 (3x10),Oral lyophilisate,Droguerie de l'Union,Catalent UK Swindon Zydis Ltd,UK,8906988.09,21.26,C,99.51942,ALK-Abello A/S,Denmark,2024-02-05,1
5143,23624/06,ACC LONG,-,10,"Tablet, effervescent",Khalil Fattal & Fils S.A.L.,Salutas Pharma  GmbH for Hexal AG,Germany,286238.4525,23.08,A1,3.198195,-,-,2024-02-05,1
10970,102221/1,ACEBUTOLOL BIOGARAN,400mg,30,Comprimés pelliculés,Commercial and Trading Ressources SAL (CTR),Anpharm Przedsiebiorstwo Farmaceutyczne SA,Poland,615479.865,23.08,A1,6.87687,Laboratoires Biogaran,France,2024-02-05,1
10971,102121/1,ACEBUTOLOL BIOGARAN,200mg,30,Comprimés pelliculés,Commercial and Trading Ressources SAL (CTR),Anpharm Przedsiebiorstwo Farmaceutyczne SA,Poland,464969.505,23.08,A1,5.19519,Laboratoires Biogaran,France,2024-02-05,1
5065,24684/07,ACECLOFAR,100mg,10,Tablet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,131696.565,23.08,A1,1.47147,-,-,2024-02-05,1
9960,79517/1,ACELEX,2mg,Bottle of 30,Capsule,BroadMed SAL,"Packed by Pharmadex SAL Lebanon under license from CrystalGenomics, Inc, Republic of Korea",Lebanon,2600655.2,23.08,B,29.0576,-,-,2024-02-05,1
11508,53923/1,ACETAZOLAMIDE,250mg,100,Tablet,Promopharm S.A.R.L.,Apotex Inc,Canada,1001162.663,23.08,A2,11.186175,AA Pharma Inc.,Canada,2024-02-05,1
8141,31215/1,ACFOL,5mg,50,Tablet,Pharmapro,Mediphar Laboratories,Lebanon,355798.3,23.08,A1,3.9754,-,-,2024-02-05,1
9768,98218/1,ACIDE ALENDRONIQUE/ VITAMINE D3 BGR,70mg/5600UI,4,Comprimé,Commercial and Trading Ressources SAL (CTR),Pharmathen International SA,Greece,815712.3975,23.08,A2,9.114105,Laboratoires Biogaran,France,2024-02-05,1
11499,4723/1,ACLASTA,5mg/100ml,1vial,solution for infusion,Khalil Fattal & Fils S.A.L.,Fresenius Kabi Austria GmbH,Austria,21075062.05,19.35,D,235.4755536,Sandoz Pharmaceuticals AG,Switzerland,2024-02-05,1
8593,1416/1,A-CNOTREN,20mg,30,"Capsule, soft ",Bellapharma S.A.R.L.,"Pharmadex under license from Pharmathen SA, Greece",Lebanon,1425333.44,23.08,A2,15.9255133,-,-,2024-02-05,1
5901,218157/09,ACTEMRA,200mg/10ml,1 Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,4169681.592,19.35,D,1,F. Hoffmann La Roche Ltd,Switzerland,2024-02-05,1
5902,218158/09,ACTEMRA,400mg/20ml,1Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,786092,10.71,E1,1,F. Hoffmann La Roche Ltd,Switzerland,2024-02-05,1
8202,42115/1,ACTEMRA,162mg/0.9ml,4Prefilled syringes,Injectable solution for SC use,Omnipharma,Vetter Pharma- Fertigung GmbH & Co KG,Germany,1311536,10.71,E1,1,F. Hoffmann La Roche Ltd,Switzerland,2024-02-05,1
5900,218156/09,ACTEMRA,80mg/4ml,1Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,11127863.74,21.26,C,124.3336731,F. Hoffmann La Roche Ltd,Switzerland,2024-02-05,1
2481,78773,ACTICARBINE,-,42,Comprimé,Pharmamedic S.A.R.L.,Elerte,France,311771.46,23.08,A1,3.48348,-,-,2024-02-05,1
2224,38681/96,ACTILYSE,50mg,2,Vial,Mersaco,Boehringer Ingelheim Pharma GmbH & Co KG,Germany,1546468,2.44,E2,1,Boehringer Ingelheim International GmbH ,Germany,2024-02-05,1
5781,219553/09,ACTISOUFRE,-,100ml,Solution pour pulverisation nasale et buccale en flacon pressurise,Pharmamedic S.A.R.L.,Grimberg,France,740457.2175,23.08,A2,8.273265,Grimberg,France,2024-02-05,1
2012,974138/01,ACTIVELLE,-,28,"Tablet, film coated",Mersaco,Novo Nordisk AS,Denmark,602041.44,23.08,A1,6.72672,-,-,2024-02-05,1
4405,78770/98,ACTI-VIR,200mg,25,"Tablet, scored",Pharmapro,Mediphar Laboratories,Lebanon,1039238.2,23.08,B,11.6116,-,-,2024-02-05,1
8870,52515/1,ACTI-VIR H,-,5g,Cream,Pharmapro,Mediphar Laboratories,Lebanon,833182.35,23.08,A2,9.3093,-,-,2024-02-05,1
9595,61618/1,ACTONORM,220mg/200mg/25mg in 5ml,200ml,Oral suspension,Taba Chemipharm,Laleham Health and Beauty Limited,UK,425998.0725,23.08,A1,4.759755,Wallace Manufacturing Chemists Ltd,UK,2024-02-05,1
1340,973726/02,ACTOS,30mg,30,Tablet,Abela Frères S.A.L.,The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan ,Jordan,2484764.783,23.08,B,27.762735,-,-,2024-02-05,1
5959,23608/06,ACTOS,15mg,30,Tablet,Abela Frères S.A.L.,The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan ,Jordan,1243054.313,23.08,A2,13.888875,-,-,2024-02-05,1
9705,179817/1,ACTOSMET,15mg/850mg,56,"Tablet, film coated",Abela Frères S.A.L.,"Takeda Pharmaceutical Company Ltd, Osaka",Japan,3101588.49,23.08,B,34.65462,The Arab Pharmaceutical Manufacturing PSC,Jordan,2024-02-05,1
2018,405546/00,ACTRAPID,100IU/ml,5x3ml,Penfill,Mersaco,Novo Nordisk AS,Denmark,1440377.751,23.08,B,16.09360616,-,-,2024-02-05,1
2023,26460,ACTRAPID,100IU/ml,10ml,Vial,Mersaco,Novo Nordisk AS,Denmark,752551.8,23.08,A2,8.4084,-,-,2024-02-05,1
8497,144814/1,ACTRAPID,100IU/ml,10ml,Vial,Mersaco,"Novo Nordisk Production SAS, Chartres",France,752551.8,23.08,A2,8.4084,Novo Nordisk AS,Denmark,2024-02-05,1
6060,24959/07,ACUPAN,-,5,Injectable solution,Pharmamedic S.A.R.L.,Biocodex,France,412559.6475,23.08,A1,4.609605,Biocodex,France,2024-02-05,1
6480,168203/10,ACURIL,5mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,614136.0225,23.08,A1,6.861855,Bluepharma Industria Farmaceutica SA,Portugal,2024-02-05,1
6481,168202/10,ACURIL,2.5mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,497221.725,23.08,A1,5.55555,Bluepharma Industria Farmaceutica SA,Portugal,2024-02-05,1
7244,96648/12,ACURIL,10mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,810337.0275,23.08,A2,9.054045,Bluepharma Industria Farmaceutica SA,Portugal,2024-02-05,1
11295,107321/1,ADAKVEO,100mg/10ml (10mg/ml),1Vial of 10ml,Concentrate for solution for infusion ,Khalil Fattal & Fils S.A.L.,Novartis Pharma Stein AG,Switzerland,2118274,2.44,E2,1,Novartis Europharm Limited,Ireland,2024-02-05,1
11585,106523/1,ADALIREL,40mg,box of 0.8ml in PFS fo subcutaneous use,Solution for injection,Levant Pulse SARL,Reliance Life Sciences pvt Ltd,India,15102158.4,19.35,D,168.7392,Reliance Life Sciences pvt Ltd,India,2024-02-05,1
7970,119414/1,ADCETRIS,50mg,1Vial,Powder for concentrate for solution for infusion,Century Pharma SAL,Takeda Austria GmbH,Austria,5316813,2.44,E2,1,Takeda Pharma AS,Denmark,2024-02-05,1
10707,92920/1,ADDAVEN,-,-,Concentrate for solution for infusion,Benta Trading Co s.a.l.,Fresenius Kabi Norg AS,Norway,4064536.315,23.08,B,45.41381358,Fresenius Kabi AB,Sweden,2024-02-05,1
4468,24279,ADELPHAN ESIDREX,-,30,Tablet,Mephico S.A.L.,Mephico SAL,Lebanon,371156.5,23.08,A1,4.147,-,-,2024-02-05,1
8804,139215/1,ADENEX SV,20mg/ml,1vialx1ml,-,Macromed S.A.R.L.,Fresenius Kabi Oncology Limited,India,3506421.043,23.08,B,39.17788875,Fresenius Kabi Oncology Limited,India,2024-02-05,1
8834,139415/1,ADENEX SV,120mg/6ml,1vial x 6ml,-,Macromed S.A.R.L.,Fresenius Kabi Oncology Limited,India,8712030.207,19.35,D,1,Fresenius Kabi Oncology Limited,India,2024-02-05,70
8835,139315/1,ADENEX SV,80mg/4ml,1vial x 4ml,-,Macromed S.A.R.L.,Fresenius Kabi Oncology Limited,India,5659563.39,19.35,D,1,Fresenius Kabi Oncology Limited,India,2024-02-05,70
9590,93318/1,ADENURIC,80mg,28,"Tablet, film coated scored",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,2127110.7,23.08,B,23.7666,-,-,2024-02-05,1
9602,107818/1,ADENURIC,120mg,28,"Tablet, film coated",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,2184703.95,23.08,B,24.4101,-,-,2024-02-05,1
10163,79719/1,ADENURIC,40mg,28,"Tablet, film coated",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,1687866.18,23.08,B,18.85884,-,-,2024-02-05,1
1341,208895/03,ADOL,250mg/5ml,135ml,"Suspension, alcohol free",Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,192169.4775,23.08,A1,2.147145,-,-,2024-02-05,1
3371,78843/98,ADOL,125mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,107507.4,23.08,A1,1.2012,-,-,2024-02-05,1
3434,78844/98,ADOL,250mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,124977.3525,23.08,A1,1.396395,-,-,2024-02-05,1
3436,78845/98,ADOL,500mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,131696.565,23.08,A1,1.47147,-,-,2024-02-05,1
3740,78846/98,ADOL,500mg,24,Caplet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,81974.3925,23.08,A1,0.915915,-,-,2024-02-05,1
1709,973937/02,ADOL EXTRA,-,24,Caplet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,122289.6675,23.08,A1,1.366365,-,-,2024-02-05,1
4861,26/95,ADRENALINE 1 MG  I.V.,1mg/ml,100 x 1ml,Injectable solution,Alfa Laboratoires S.A.L.,Alfa Laboratoires S.A.L.,Lebanon,2239737.5,23.08,B,25.025,-,-,2024-02-05,1
11025,43121/1,ADRENALINE AGUETTANT ,1mg/10ml (0.1mg/ml),10Prefilled Syringes,"Solution for injection, sulfite free",Pharmamed,Aguettant,France,13990891.24,19.35,D,156.3228072,Aguettant,France,2024-02-05,1
2097,H0744/92,ADRENALINE RENAUDIN,1mg/ml,10x1ml,Ampoule,Minapharm Halabi,"Renaudin
",France,444811.8675,23.08,A1,4.969965,"Renaudin
",-,2024-02-05,1
7809,81614/1,ADRENALINE SALF,1mg/ml,5Amp x 1ml,Injectable solution,New Europharm,SALFSpA Laboratorio Farmacologico,Italy,220390.17,23.08,A1,2.46246,SALFSpA Laboratorio Farmacologico,Italy,2024-02-05,1
6549,167734/10,ADROMUX ,-,1,"Tablet, coated",Droguerie Phenicia,Gador SA,Argentine,400465.065,23.08,A1,4.47447,Gador SA,Argentine,2024-02-05,1
7640,186522/13,ADVAGRAF,1mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,4209462.687,19.35,D,1,Hikma Pharmaceuticals,Jordan,2024-02-05,1
7641,186523/13,ADVAGRAF,3mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,1125955,10.71,E1,1,Hikma Pharmaceuticals,Jordan,2024-02-05,1
7642,186524/13,ADVAGRAF,5mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,1402173,2.44,E2,1,Hikma Pharmaceuticals,Jordan,2024-02-05,1
7639,186521/13,ADVAGRAF,0.5mg,100,"Capsule, hard, prolonged release",Abela Frères S.A.L.,Astellas Ireland Co Ltd,Ireland,13297758.15,21.26,C,148.5783033,Hikma Pharmaceuticals,Jordan,2024-02-05,1
10363,94820/1,ADVANTAN,-,20g,Cream,UPO S.A.L.,Leo Pharma Manufacturing Italy SRL,Italy,385682.7975,23.08,A1,4.309305,Leo Pharma A/S,Denmark,2024-02-05,1
10364,94920/1,ADVANTAN,-,20g,Ointment,UPO S.A.L.,Leo Pharma Manufacturing Italy SRL,Italy,385682.7975,23.08,A1,4.309305,Leo Pharma A/S,Denmark,2024-02-05,1
10892,77021/1,ADVIL,200mg,50,Tablet,Sadco,Pf Consumer Healthcare Canada ULC,Canada,321178.3575,23.08,A1,3.588585,GlaxoSmithKline Consumer Healthcare ULC,Canada,2024-02-05,1
1575,405437/00,ADVIL COLD & SINUS,-,20,"Caplet, coated",Sadco,Pf Consumer Healthcare Canada ULC,Canada,288926.1375,23.08,A1,3.228225,Pfizer Consumer Healthcare a division of Pfizer Canada ULC,Canada,2024-02-05,1
10887,76921/1,ADVIL COLD & SINUS,-,20,Caplet,Sadco,Pf Consumer Healthcare Canada ULC,Canada,288926.1375,23.08,A1,3.228225,GlaxoSmithKline Consumer Healthcare ULC,Canada,2024-02-05,1
10891,97321/1,ADVIL LIQUI-GELS,200mg,32,Capsule,Sadco,Pf Consumer Healthcare Canada ULC,Canada,464969.505,23.08,A1,5.19519,GlaxoSmithKline Consumer Healthcare ULC,Canada,2024-02-05,1
9523,48818/1,ADVIL LIQUI-GELS EXTRA STRENGTH,400mg,24,Capsule,Droguerie Mercury S.A.L.,Pf Consumer Healthcare Canada ULC,Canada,575164.59,23.08,A1,6.42642,Pfizer Consumer Healthcare a division of Pfizer Canada ULC,Canada,2024-02-05,1
8812,101516/1,ADVIL NIGHT,-,20,Caplets,Sadco,Pf Consumer Healthcare Canada ULC,Canada,623542.92,23.08,A1,6.96696,Pfizer Consumer Healthcare a division of Pfizer Canada ULC,Canada,2024-02-05,1
10890,76721/1,ADVIL NIGHT,-,20,Caplets,Sadco,Pf Consumer Healthcare Canada ULC,Canada,623542.92,23.08,A1,6.96696,GlaxoSmithKline Consumer Healthcare ULC,Canada,2024-02-05,1
6986,97366/12,AERIALLERG,0.5mg/ml,125ml,Syrup,Picomed SARL,Pharma International Co,Jordan,200232.5325,23.08,A1,2.237235,Pharma International Co,Jordan,2024-02-05,1
7562,167742/11,AERIALLERG,5mg,30,"Tablet, film coated",Picomed SARL,Pharma International Co,Jordan,400465.065,23.08,A1,4.47447,Pharma International Co,Jordan,2024-02-05,1
5182,24888/07,AERIUS,0.5mg/ml,150ml,Oral Solution,Abela Frères S.A.L.,Schering Plough Labo NV,Belgium,403152.75,23.08,A1,4.5045,-,-,2024-02-05,1
7509,186613/13,AERIUS,5mg,30,"Tablet, film coated",Abela Frères S.A.L.,Schering Plough Labo NV,Belgium,430029.6,23.08,A1,4.8048,Merck Sharp & Dohme Ltd,UK,2024-02-05,1
7445,219222/09,AEROCORT-A HFA,-,200metered doses,Inhaler,Droguerie de l'Union,Cipla Ltd,India,541568.5275,23.08,A1,6.051045,Cipla Ltd,India,2024-02-05,1
9346,216/1,AETHOXYSKLEROL,3%,5Ampoules x 2ml,Injection solution,Medway Healthcare SARL Single Partner,Chemische Fabrik Kreussler & Co GmbH,Germany,2576146.073,23.08,B,28.783755,Chemische Fabrik Kreussler & Co GmbH,Germany,2024-02-05,1
