Pharmacy,PharmacistName,Mouhafaza,Casa,Address,Phone
abou khaled,Nabil Michel Abou Khaled,MONT LIBAN,ALEY,Bhamdoun-Al Mahatta,05/260050-05/260049
abou khalil,Nassif Abdelrida Abou-Khalil,LIBAN SUD,TYR,Tyr-quartier Al Ramel-Rue Al Hamra,07/345118
abou malek,Chadi Ali Abou Malek,BEKAA,RACHAYA,Daher AL Ahmar-La Route Principale,08/590485
abou taam,Khadijé Sélim Abou Taam,MONT LIBAN,BAABDA,Haret Hreik-quartier Sfeir-Rue Mkerzel,01/544251
abou zeid,Moustapha Adnan Abou-Zeid,LIBAN SUD,SAYDAH,Saida-quartier AL Wistani-La Rue Principale,07/755545
abraj,Robin Rafic Hachach,MONT LIBAN,BAABDA,Furn El Chebbak-La Route De Damas,01/289966
achouf al aala,Nabil Adnan Hassan,MONT LIBAN,AL CHOUF,Batloun-Rue Principale,05/240083
achraf,Maya Osmat Osman,MONT LIBAN,BAABDA,Bourj Al Barajneh-Rue Ottoman,01/474411
achrafieh,Jacqueline Hanna Sarraf,BEYROUTH,BEYROUTH,Achrafieh-Rue Adib Ishak-Imm. Hayek,01/202107-1-01/321258
achtar,Ghada Melhem Abi-Saab,MONT LIBAN,ALEY,Bchemoune-La Rue Principale,03/246476
achtar 2,Ghada Mouhamad Charafeddine,LIBAN SUD,TYR,Srifa-Rue Principale,07/385002
adam,Nathalie Jasser Khalifeh,LIBAN SUD,SAYDAH,Al Ghazieh-La Rue Principale,07/224413
adam medical pharmacy,Iman Mohamad Hayek,BEKAA,ZAHLE,Bar Elias- Zahlé,-
adam new,Moustafa Mohamad Nassereddine,MONT LIBAN,ALEY,Aramoun- Aley,05/807785
adam pharmacy,Hussein Said Ismail,BEKAA,-,Britele-Baalback,08/340550
adams pharmacy,Manal  Farid Wehbeh,MONT LIBAN,ALEY,Aley - Rue Jbeily,05/555140
adel pharmacy,Faten Adel Dakdouk,MONT LIBAN,ALEY,Aramoun-Aley,05/410571
adloun,Fady Ali Saloub,LIBAN SUD,AL ZEHRANI,Adloun-Rue Principale,07/390352
adma,Joseph Nabih Tabet,MONT LIBAN,-,Adma,09/855933
adnan,Ibrahim Adnan Ghazal,LIBAN NORD,TRIPOLI,Tripoli-Route de Sir Al Denniyeh,06/394040
adnan srour,Adnan Habib Srour,LIBAN SUD,TYR,Tyr_Rue Al Istiraha,07/345357
adonia al tebbiya,Ayman Adnan Jawhari,BEKAA,-,Hermel -Quartier Al Tel,08/201458
adonis,Youssef Ali Srour,LIBAN SUD,TYR,Tyr -Al Abbassieh,07/343703
adonis -zouk mosbeh,Philippe Antoine Samaha,MONT LIBAN,-,Zouk Mosbeh-Adonis,09/217103
adra,Mamdouha Riad Adra,LIBAN NORD,TRIPOLI,Tripoli_Al Mina_Rue De La Croix Rouge,06/616580
afiouni,Fadi Mahmoud Afiouni,LIBAN NORD,TRIPOLI,Tripoli-Zone Al Ghouraba`-Rue Du Boulevard,06/626721
agha,Mustapha Mouhamad Agha,LIBAN NORD,TRIPOLI,Al Minyeh-Al Abdeh-Autostrade Al Minyeh,06/460496
agha al haditha,Nathalia Ivan Agha,LIBAN NORD,TRIPOLI,Tripoli-Al Minyeh-Rue De L`Autostrade,06/463496
ahlam,Ahlam Souleimane El Kadri,BEKAA,RACHAYA,Al Mheydthe-Rachaya,08/560533
ahmad,Ahmad Ali Hotait,LIBAN SUD,SAYDAH,Al Babiliyeh-quartier Al Saf-Rue Principale,03/925290
ahmad 2,Ahmad Ibrahim Osman,MONT LIBAN,BAABDA,Haret Hreik-Rue Al Amiliyeh,01/450315
ahmad 3,Ahmad Abdel Amir Jaara,Al Nabatieh,NABATIEH,Al Nabatieh Al Tahta,07/769447
ahmad 4,Ahmad Mohamad Ali Assi,Al Nabatieh,NABATIEH,Ansar-La Rue Principale,07/500308
ahmad houssein,Ahmad Jamil Hussein,BEKAA,ZAHLE,Majdel Anjar-La Route Principale,-
ahmad kouaies,Ahmad Jamil Kwais,MONT LIBAN,BAABDA,Haret Hreik-quartier Al Abyad,01/274397
ahmad medical pharmacy,Ahmad Ali Al Hajj Youssef,BEKAA,-,Baalback- Quartier Al Masri,08/377044
ahmad yazbek,Ahmad Abbas Yazbeck,BEKAA,-,Haouch Al Rafika-Baalback,70/965775
ahmar pharmacy,Roua`a Kenaan Al Ahmar,BEKAA,-,Al Kaa- Baalback,01/023680
aicha pharm,Yahya Assaad Chamedin,LIBAN NORD,-,Akkar,-
aida,Aida Ali Kassem,MONT LIBAN,BAABDA,Chiah-Avenue du Pr.  Assad-Bir Hassan-imm. Berro,01/852626
aida 2,Faten Ahmad Zaarour,MONT LIBAN,AL CHOUF,Al Debbiyeh,07/985662
aida baddoura,Aida Abdo Abou Cherfan,MONT LIBAN,-,Jounieh-Haret Sakher,09/930237
aidamoun,Reine Antoine Yazbeck,MONT LIBAN,-,Gharfine-La Rue Principale,09/621112
ain al mraysseh,Nadira Loutfi Badreddine,BEYROUTH,BEYROUTH,Ras Beyrouth-Ain Al Mreisseh,01/356999-01/362195
ain aldelbeh,Najib Ibrahim Mahfouz,MONT LIBAN,BAABDA,Borj Al Barajneh-Rue Ain Al Delbeh,01/451404
aindket,Khodor Abbas Abbas,LIBAN NORD,-,Wata Aindket-Rue Pricipale,06/880641
airport pharmacy,Tarek Ali Yahfoufi,MONT LIBAN,BAABDA,Bourj Al Barajneh,01/455377-01/455477
aita,Mouhammad Hassan Saad,Al Nabatieh,BENT JBEIL,Aita Al Chaeb-Rue Principale,07/465345
ajaltoun,Johny Khalil Matta,MONT LIBAN,-,Ajeltoun-Rue Principale,09/231431
ajami,Asaad Moussa Ajami,Al Nabatieh,BENT JBEIL,Bint Jbeil - Nabatieh,07/451015
ak pharma-c,Ali Mohamad Kreyem,BEKAA,BEKAA OUEST,Suhmor -west Bekaa,-
akays,Dany Elie Akeiss,BEKAA,ZAHLE,Zahlé,08/822429
akel,Najla Said Akl,MONT LIBAN,AL MATN,Bekannaya,04/717193
akiki,Antoine Milad Akiki,MONT LIBAN,-,Jbeil-quartier St. Georges,09/546930
akil pharm,Ahmad Mohamad Akil,MONT LIBAN,ALEY,Khalde,05/810197
akkar,Lamaz Hussein Assi,LIBAN NORD,-,Akkar-Route Principale,06/690701
akkar al atika al haditha,Mohammad Ahmad Yehya,LIBAN NORD,-,Akkar Al Atika,06/888898
akkari,Jana Mokhless Akkary,LIBAN NORD,TRIPOLI,Tripoli-Al Bassatine,06/600615
akkawi,Michel Elias Accaoui,MONT LIBAN,AL MATN,Sin El Fil-Rond Point Hayek,01/485080
akoum pharmacy,Dalal Ahmad Mansour,MONT LIBAN,ALEY,Al Chouaifat-Al Kobbeh,05/808316
akram,Farah Akram Zbib,Al Nabatieh,NABATIEH,Zefta - Al Nabatieh,07/505254
al  abbas,Mohammad Farouk Mazbouh,BEKAA,ZAHLE,Ali Al Nahri-La Place Principale,08/920533
al  akeibeh,Aida Rizkallah Warcha,MONT LIBAN,-,"Al Akeibeh-La Rue Principale
`",09/440050
al  amine,Aida Abdelmajid Amine,MONT LIBAN,BAABDA,Hadath-quartier De L`Université,03/775503
al  hamidi,Abir Mahmoud Ammach,LIBAN NORD,TRIPOLI,Tripoli-Al Zahrieh-Rue College De Gebran,06/424370
al  iklim,Youssef Ali Hajjar,MONT LIBAN,AL CHOUF,Chhim-La Rue Principale,07/242441
al  jinane,jinane ali noureddine,Al Nabatieh,NABATIEH,AL Nabatieh Al Tahta,07/768060
al  kafaa,Ali Ghazi Faitrouni,BEKAA,-,Baalback-Rue Becharra El Khoury,08/374734
al  kodess,Hassan Zakaria Jary,BEKAA,-,Baalback-Rue Camille Chamoun,08/372132
al  kodess 2,Fatima Nassar Nassar,BEKAA,BEKAA OUEST,Machghara-Rue Principale,08/651390
al  lakiss,Mohamad Hussein Lakkis,BEKAA,BEKAA OUEST,Haouch Al Harimeh-La Rue Principale,28/641395
al  moukhaless,Georges Camille Chalhoub,LIBAN SUD,JEZZINE,Lebea-Jezzine,07/230043
al  sana`a,Sanaa Hussein Husseiny,BEKAA,ZAHLE,Moualait Zahlé,08/814070
al _khouloude,Roula Ibrahim Hajjeh,LIBAN NORD,TRIPOLI,Tripoli-Rue Tal-Imm. Al  Bissar,06/423203
al - aamiriya pharmacy,Ghassan Sami Berbari,MONT LIBAN,AL MATN,Sakiyet Al Misk W Bhersaf-Al Matn,03/606262
al - abdouni pharmacy,Ahmad Abdel Sattar Abdouni,BEKAA,BEKAA OUEST,Al Hemmara-West Bekaa,-
al - maten pharmacy,Farah Nadim Shayya,MONT LIBAN,BAABDA,Kobeih- Baabda,05/370910
al aaila,Abd Chakour Khaled Abou Aylai,LIBAN NORD,-,Fneydek-Akkar -la rue principale,06/895351
al aassar,Mahmoud Omar Al Aassar,LIBAN NORD,TRIPOLI,Tripoli,06/391258
al abbas,Soukaina Cherif El Husseini,LIBAN SUD,TYR,Al Abbassiyeh-Tyr,07/380994
al abbassieh,Mohamad Khalil Ezzeddine,LIBAN SUD,TYR,Al Abbassieh-La Rue Principale,07/381381
al abdeh,Tarek Raouf Bassil,LIBAN NORD,-,Al Mouhamrah-quartier du Rond Point Al Abdeh,06/470337
al abir,Mohamad AbdulFatah Al Wardany,BEKAA,BEKAA OUEST,Al Manaraa,08/563008
al abir al jadida,Najat Mouhamad Zgheib,MONT LIBAN,BAABDA,Ghobeiry-Tayouneh-La Rue De Chahine,01/399110
al achec,Firas  Kassem AL Achek,BEKAA,-,Al Nabi Osmane-La Route Principale,08/234636
al achhab pharmacy,Roula Elias Achhab,BEKAA,ZAHLE,Zahle-Massa-La Route Principale,08/921513
al afech,Ali Omar Afch,BEKAA,BEKAA OUEST,Haouch Al Harimeh,08/640220
al ahmad,Ola Ahmad Serhal,MONT LIBAN,AL CHOUF,Daraya-Al Chouf,07/242690
al ahmad 2,Hala Ahmad Chaker,LIBAN NORD,Al Minyeh / Al Denniyeh,Bakhoune-La Rue Principale,06/240208
al ahram,Elham Mouhamad Zoud,LIBAN NORD,TRIPOLI,Tripoli-Al Kobbeh-Rue de L`Hopital Gouvernemental,06/391099
al ajami,Khaled Mohammad Ajami,BEKAA,ZAHLE,Majdel Anjar-Al Masnaa`-La Route De Damas,-
al akbieh aljadida,Zahi Ahmad Siblini,LIBAN SUD,AL ZEHRANI,Al Bissarieh-Route Pricipale Saida/Tyr,07/260609
al akel pharmacy,Nadine Kamal El Akel,MONT LIBAN,ALEY,Choueifat-Quartier Al Oumara,05/441871
al akkari pharmacy,Hala Hussein Hussein,LIBAN NORD,-,Wadi Al Jamous-Akkar,06/471403
al akl,Zeina Ramzi Nahhas,MONT LIBAN,AL MATN,Bikfaya,04/980090
al ala`,Sana'a Ali Mehdi,MONT LIBAN,BAABDA,Chouaifat-Al Amroussieh,03/728759
al amal,Amale Kamal Dada,LIBAN NORD,-,Halba-Route De Halba/Koubeyat,06/692916
al amal 2,Akram Hassan Barakat,BEYROUTH,BEYROUTH,Beyrouth-Mina Al Hosn-Rue Wadi Abou Jmil,01/372079-01/366320
al amal 3,Amal Mouhamad Assaad,MONT LIBAN,ALEY,Khaldeh-Al Kobbeh-Rue De La Cité,05/800289
al amal 4,Georges Sami Rahhal,MONT LIBAN,BAABDA,Ain Al Remmeneh-Rue Wadih Neaim,01/396936
al amal 5,Mustapha Mohamad Akal,LIBAN NORD,TRIPOLI,Tripoli-quartier Al Minyeh-Rue De L`Autostrade,06/461718
al amal al tebbiyah,Firas Fayssal Haj Hassan,BEKAA,-,Chaet-Baalback,08/305101
al amale,Amal Elias Moukarzel,MONT LIBAN,ALEY,Kéhalé-quartier St. Antoine-Route Principale,05/768232
al amana,Mouhamad Nizar Rahif Afiouni,LIBAN NORD,TRIPOLI,Tripoli-quartier de Lّancien serail-Imm. Al Moussalli,06/432759
al amana pharmacy,Mohamad Hassan Basbous,MONT LIBAN,AL CHOUF,Daraya-La Rue Principale-Bifircation Nahr Al Hammam,07/243837
al amane,Kifah Mouhamad Abou-Daher,MONT LIBAN,AL CHOUF,Joune,07/975127
al amani,Amani Mohamad Zaghlout,BEKAA,BEKAA OUEST,Al Karaoun-West Bekaa,08/630938
al amayer,MOuhamad Ahmad El Moukahal,LIBAN NORD,-,Akkar-Wadi Khaled,06/870362
al amine,Somaya Mostapha Hijazi,LIBAN SUD,SAYDAH,Saida-Al Wistani,07/755348
al amine 2,Mostafa Wafic Mosleh,MONT LIBAN,ALEY,Abey-La Rue Principale,05/210790
al amine 3,Ibtissam Mohamad Faliti,BEKAA,-,Arsal -La Route Principale,70/974019
al amine pharma,Zeina  Bassam Chahine,Al Nabatieh,BENT JBEIL,Chacra -BintJbeil,07/370369
al amir,Hawraa Mohamad Nagem,Al Nabatieh,NABATIEH,Breykeh - Al Nabatieh,07/540538
al amir 2,Said Taleb Akkouch,LIBAN SUD,SAYDAH,Al Kharayeb-Saida,07/360601
al amir 3,Hussein Ali Doghman,LIBAN SUD,SAYDAH,Sarafund,03/778313
al amir 4,Mohamad Hassan Bahja,Al Nabatieh,NABATIEH,Jabchit-Rue Al Sammouka,07/512556
al amir 5,Adnane Hussein Joumblat,BEYROUTH,BEYROUTH,Mazraa-Rue Sidi Hassan,01/652601
al amir 6,Hussein Ali Abdallah,MONT LIBAN,ALEY,Chouaifat-Rue Al Tiro,05/431066
al amira,Mohamad Ali Amine,LIBAN SUD,TYR,Batoulieh-Rue Principale,03/446666
al amiri,Mohamad Hassan Bilal,Al Nabatieh,NABATIEH,Kfar Remman-Al Nabatieh,07/768936
al amiri plus,Abbas Hassan Bilal,Al Nabatieh,NABATIEH,Zebdine-Al Nabatieh,-
al amouri,Imad Hussein Amouri,BEKAA,BEKAA OUEST,Kefraya-Rue Principale,08/645045-08/645045
al amyouni,Lara Elias Kamleh,LIBAN NORD,ZGHORTA,Zgharta,06/668878
al anwar,Elie Chafic Kayrouz,MONT LIBAN,AL MATN,Jdeideh Al Matn,01/883324
al araj,Ahmad Hassan Araj,Al Nabatieh,BENT JBEIL,Burj Kalaweyh_Al  Mahatta_La Rue Principale,07/385290
al arcoub,Walid Mouhamad Youssef,MONT LIBAN,BAABDA,Chouaifat-Amroussieh,05/431690
al arij,Areej Sajih Hijazy,BEKAA,ZAHLE,Taalabeya-Zahle,08/506250
al arz,Ziad Refaat Al Safadi,LIBAN NORD,TRIPOLI,Tripoli-Al Kobbeh-Rue Des Cèdres,06/385136
al asmar,Samir Abdallah Asmar,LIBAN NORD,-,Halba,06/690449
al assala,Ibrahim Farouk El Mohsen,LIBAN NORD,TRIPOLI,Tripoli-Abi Samra-Propriete De Abdel Rassak Berjawi,-
al asseili,Mazen Mahmoud Ousseily,MONT LIBAN,ALEY,Chouaifat-Rue Al Omara,05/430468
al assir,Fatima Hassan Kobrosly,LIBAN SUD,SAYDAH,Abra-La Rue Principale De Saida/Jezzine,07/753755
al ataa`,Ataa Mohammad Al Arab,BEKAA,-,Younine-La Route Principale-La Propriete De Souaid & Arab,08/305448
al ataya,Johnny Abdo Rizkallah,MONT LIBAN,AL MATN,Sin El Fil-Rue Mar Elias,01/488188
al ateba a,Bassam Hikmat Abdul Samad,MONT LIBAN,AL CHOUF,Bekaata-Rue Principale,05/506868
al ateba`,Mohamad Badri Ismail,BEKAA,-,Baalback-Quartier al charawna,08/377160
al atebaa` al jadida,Timur Jamal Haidar,BEKAA,-,Baalback - Quartier Al Mantara,-
al ayn,Zeinab Hamzeh Nasser dine,BEKAA,-,Baalback-Al Ayn-La Route principale,70/952036
al aytam,Hussein Ali Badawi,LIBAN SUD,TYR,Tyr-Borj Rahal,07/350120
al azar,Fouad Emil Azar,LIBAN NORD,AL KOURA,Bechmezzine,03/340252
al babiliyeh,Bahaa Hassan Kobeisy,LIBAN SUD,SAYDAH,Al Babiliyeh,07/421009
al bachar,Mona Abbas Nasser,MONT LIBAN,BAABDA,Bourj Al Barajneh-Al Ousai-Rue Principale,01/842966
al badwi,Micheline Elia Al Badawi,LIBAN NORD,-,Al Kobayat-La Rue Principale,06/350090
al bahsas,Amal Mohamad Alaeddine Kanj,LIBAN NORD,AL KOURA,Tripoli-Rue Al Behssace,06/411123
al baker,Mohamad Fadel Abdel Rida,MONT LIBAN,BAABDA,Mreijeh-Tehwitet Al Ghadir-Rue Du Palais Municipal,01/465268
al balad,Ali Fayad Haidar,BEKAA,ZAHLE,Kob Elias-La Rue Principale,-
al balad 2,Mohamad Hussein Maatouk,Al Nabatieh,NABATIEH,Sir Al Gharbieh-La Rue Principale,07/542218
al balsam,Raafat Abdelfattah Itawi,LIBAN NORD,TRIPOLI,Tripoli-Mouharram-Rue Bab El ramel,06/435533
al balsam 2,Hala Helmi Mourad,MONT LIBAN,AL CHOUF,Chhime,07/242410
al balsam 3,samar Ahmad Remlawi,Al Nabatieh,NABATIEH,Zawtar Al Charkieh-La Rue Principale,07/571271
al balsam 4,Souad Assaad Noun,MONT LIBAN,BAABDA,Chiah - Quartier El Amerkan,01/271990
al basma,Ahmad Nayef Kassaa,LIBAN NORD,TRIPOLI,Tripoli-Rue Mounla,06/200245
al bassam,Farah Ahmad Rammal,LIBAN NORD,TRIPOLI,Tripoli-Rue Abi Samra,06/431811
al bassam 2,Manal Ali Bayrakdar,MONT LIBAN,BAABDA,Ghobeiri-La Rue De L`Echangeur de L`Aireport,01/451493
al bassima al roueissat,Khalil Abed Al Houssein Zibara,MONT LIBAN,AL MATN,Jdeideh-Roueissat,01/876139
al batoul,Hussein Ali Kaafarany,Al Nabatieh,NABATIEH,Deir Al Zahrani-Karem Al Soultani-La Rue Principale,07/531075
al batoul 2,Souha Mohamad Fetni,LIBAN SUD,TYR,Al Abassiyeh-Jel Al Bahr-Entree nord De Tyr,03/672708-07/346852
al batoul 3,Mariam Saeed Tihini,LIBAN SUD,SAYDAH,Al Ghazieh-La Rue Des Colleges-Propriete De Kassem Dalal & Mohamad Khalife,07/224412
al batoul 4,Mouin Mohamad Harb,Al Nabatieh,NABATIEH,Jabchit-Wadi Al Assa,07/510538
al batoul al tebbiya,Mahmoud Niyazi Nasser Eddine,BEKAA,-,Al Hermel-Al Mansoura,08/201889
al batrouni,Raymond Georges Batrouni,MONT LIBAN,AL MATN,Antelias,04/416300-04/414800
al bayader,Mohammad Asaad Akl,LIBAN NORD,-,Al Mouhamarah-quartier Al Abda-Rue Principale,06/471146
al bazaliyeh,Ali Houssein Al Bazzal,BEKAA,-,Al Taoufikiyeh-Quartier Du Nord Est-la route principale,-
al bazourieh,Fadel Mohamad Jaffal,LIBAN SUD,TYR,Al Bazourieh_La Route Principale,07/376161
al beddawi,Omar Abdo Malas,LIBAN NORD,TRIPOLI,Tripoli-Al Bedawi-Rue Principale,06/388838
al bekaa al jadida,Marwa Fayez Ferekh,BEKAA,ZAHLE,Majdel Anjar-Route De Damas,08/621550-08/621549
al bekaa al markaziyah,Zaher Souheil  Ramadan,BEKAA,ZAHLE,Majdel Anjar-Zahle-Propriete De Abdel Karim,08/622998
al bia,Fida'a Mohamad Safie,LIBAN NORD,TRIPOLI,Tripoli-Al Mina-Prés Ciné Victoria,06/615896
al bikaa al gharbi - sohmor,Danielle Ahmad Kamar,BEKAA,BEKAA OUEST,Sohmor,08/635554
al bireh,Ali Ahmad Yahya,LIBAN NORD,-,Al Bireh-La Route Principale,06/830900
al bitar,Mostapha Ahmad Bitar,LIBAN SUD,SAYDAH,Saida-Imm. Zaatari,07/724922
al borhane,Hassan Ahmad Bourhan,LIBAN NORD,-,Ammar Al Bikat-Akkar,06/845871
al borj,Majed Mohamad Khodor,LIBAN NORD,-,Deir Dalloum-Bourj Al arab-La Rue Principale,06/825480
al borj al jadida,Fady Mansour Jamaleddine,MONT LIBAN,BAABDA,Borj Al Barajneh-Al Ramel Al Ali,01/450325
al bourjein,Roula Mouhammad Abou-Daher,MONT LIBAN,AL CHOUF,Al Bourjein-Rue Principale,07/985476
al boustane,Hilda Hassan Hatoum,BEKAA,ZAHLE,Jdita - Zahle,08/541696
al boustane 2,Youssef Ahmad Abdel Rida,LIBAN SUD,TYR,Maaroub-tyr,07/400778
al bustan pharmacy,Hussein Hani Hatoum,MONT LIBAN,BAABDA,Ghobeiry,01/855078
al bustan pharmacy 2,Samer Ahmad El Melhem,LIBAN NORD,-,Akkar Al Atika,06/886617
al canadi,Leila Najati El Solah,BEKAA,-,Baalback-Ras Al Ain-,03/714565-08/373032
al caraoun,Faten Abdelrahim  Tarrif,BEKAA,BEKAA OUEST,Al Caraone-Rue Principale,08/630731
al chaab al jadida,Khalaf Mouhammad Khalaf,BEKAA,-,Hermel-Quartier Dora,08/200050
al chaabia,Jaafar Ahmad Mtayrek,LIBAN SUD,AL ZEHRANI,Al Sarafand-La Route Principale De Saida/Tyr,07/442804-03/903804
al chaar,Natalia Anatoli Artemenkova,MONT LIBAN,AL CHOUF,Al Naimeh-Ancienne Route De Saida,05/601730
al chaar itani,Diana Farouk Al Chaar,BEYROUTH,BEYROUTH,Beyrouth-Ramlet al Baida-La Rue De Farid Trad,01/798898-01/798897
al chaar t v,Hani Farouk Chaar,BEYROUTH,BEYROUTH,Beyrouth-Talet Al Khayat-Rue Al Rachidine,01/788130-01/798898
al chaeb,Salim Wafic Akoum,LIBAN SUD,SAYDAH,Darb Al Sim-Saida,71/355845
al chaeb 2,Hussein Ali Jamaleddine,BEKAA,-,Britel-quartier Du Mosqee,03/870471
al chahabiah,Ahmad Adib Selman,LIBAN SUD,TYR,Al Chahabiah-Dareb Al souk-Rue Pricipale-Imm. Ahmad Kansouh,07/410870
al chakif,Ahmad Saleh Fakih,Al Nabatieh,NABATIEH,Kfar Tebnit-Nabatieh,07/767269
al chamaa,Hiba Youssef El Chamaa,MONT LIBAN,AL CHOUF,Chouf-Barja,07/921673
al chamal,Natalie Michael Dorovyiva,LIBAN NORD,ZGHORTA,Kfarhata-La Rue Principale,06/660843
al chami,Jamileh Naim Chami,LIBAN NORD,TRIPOLI,Tripoli-Al MIna-Rue Al Moutanabbi,06/602789
al chams,May Chamseddine Nassereddine,MONT LIBAN,ALEY,Khaldeh-Al Kobbeh-Rue Principale,05/800670
al chams 2,Chames Dajali Fermin Bonze,BEKAA,ZAHLE,Zahlé-Al Moualaka-La rue principale,70/931078-08/931078
al charek,Ali Hussein Fakih,Al Nabatieh,NABATIEH,Al Nabatieh Al Faouka-Quartier Al Akida-Rue Margeoun,07/769982
al charif,Fatmé Fouad Charif,LIBAN NORD,-,Halba-Place Principale,26/690468
al charif 2,Mouhssen Mouhammad Taki Charif,MONT LIBAN,BAABDA,Chouaifat-L`Autostrade Du Tiro,05/481990
al charif al haditha,Charif Mohamad Daher,LIBAN NORD,-,Al Mouhamra-Akkar,06/471087
al chark,Nihal Mohamad Houshaimy,BEKAA,ZAHLE,Taalabaya-Rue Principale,08/505071
al chartouni,Samir Abdo Chartouni,MONT LIBAN,BAABDA,Hadath-qartier Des Grecs Orthodoxes,05/464850
al chate`,Dola Aziz Aoun,MONT LIBAN,-,Jounieh-Al Mina,09/916956
al chate` 2,Waddah Ouday Ayoubi,MONT LIBAN,ALEY,Khaldeh-Ouzai,01/451073
al chehhar,Salwa Nassib Abdelbaki,MONT LIBAN,ALEY,Remhala-Kaber Chmoun,05/410370
al cheikh,Ihab Issam Mostapha,MONT LIBAN,BAABDA,Chiah-Ghobeiry-Route Hassan Kanj,01/274466
al cheikh 2,Mounir Jammoul Jabr,Al Nabatieh,HASBAYA,Hasbaya-Rue Principale,07/550314
al cheikh 3,Mohamad Ibrahim Cheikh Ali,Al Nabatieh,MERGEOUN,Al Khiyam-La Rue Principale,07/840130
al cheikh ammar,Jana Ali Sheikh Ammar,LIBAN SUD,SAYDAH,Saida-Al Wistani,07/724855
al chifa `a,Maurice Yorke Tayrouz,MONT LIBAN,BAABDA,Furn El Chebbak-Rue De Damas,01/291202-01/291204
al chifa a,Wajdi Youssef Abou-Ali,MONT LIBAN,AL CHOUF,Bchamoune-Rue Principale,05/272823
al chifa a 2,Jamal Noureddine Sadaka,MONT LIBAN,BAABDA,Al Mreijeh-Tehwitet Al Ghadir,01/476746
al chifa a 3,Rajaa Mohamad Hage Moussa,BEKAA,-,Baalback-Ras Al Ain,08/376338
al chifa a 4,Bassel Abdelghani Masri,LIBAN NORD,TRIPOLI,Tripoli-Zeitoun Tripoli,06/439257
